,currency,discord,has_presale,image_urls,name,presale_date,presale_price,quantity,release_date,starting_price,twitter,website
23,SOL,C3AY4bC4fQ,False,"['https://upcoming.images.rarity.tools/yaksatheenormous_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/yaksatheenormous_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/yaksatheenormous_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/yaksatheenormous_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/yaksatheenormous_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/yaksatheenormous_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/yaksatheenormous_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/yaksatheenormous_4?width=150&optimizer=image']",Yaksa - The Enormous,,,2222,,,Yaksa_NFT,https://yaksa.io/
24,ETH,AEAMPD2w8n,False,"['https://upcoming.images.rarity.tools/badapenft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/badapenft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/badapenft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/badapenft_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/badapenft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/badapenft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/badapenft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/badapenft_4?width=150&optimizer=image']",BadApe NFT,,,10000,,,BadapeNFT,https://badape.io
25,ETH,evolutionapes,True,"['https://upcoming.images.rarity.tools/evolutionapes_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/evolutionapes_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/evolutionapes_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/evolutionapes_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/evolutionapes_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/evolutionapes_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/evolutionapes_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/evolutionapes_4?width=150&optimizer=image']",Evolution Apes,2022-02-04 13:00:00,0.13,10010,2022-02-04 13:00:00,0.13,evolutionapes,https://evolutionapes.com
26,ETH,peskypandas ,True,"['https://upcoming.images.rarity.tools/peskypandas_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/peskypandas_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/peskypandas_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/peskypandas_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/peskypandas_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/peskypandas_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/peskypandas_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/peskypandas_4?width=150&optimizer=image']",Pesky Pandas,2022-02-04 13:00:00,,5555,2022-02-04 13:00:00,,PeskyPandasNFT,http://PeskyPandas.net
27,ETH,thetronwars,False,"['https://upcoming.images.rarity.tools/tronwars_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/tronwars_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/tronwars_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/tronwars_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/tronwars_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/tronwars_3?width=150&optimizer=image']",Tronwars,,,8888,,,thetronwars,https://thetronwars.com/
28,ETH,jwntPgk6jN,True,"['https://upcoming.images.rarity.tools/metamais_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/metamais_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/metamais_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/metamais_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/metamais_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/metamais_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/metamais_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/metamais_4?width=150&optimizer=image']",MetaMoais,,0.0,10000,,0.0,MetaMoais,https://www.metamoais.info/
29,ETH,mutantagecamelclub,False,"['https://upcoming.images.rarity.tools/MACamelClub_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/MACamelClub_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/MACamelClub_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/MACamelClub_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/MACamelClub_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/MACamelClub_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/MACamelClub_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/MACamelClub_4?width=150&optimizer=image']",Mutant Age Camel Club,,,10000,,,Mutantcamelclub,https://mutantagecamelclub.io/
30,ETH,5FANWFzuj5,False,"['https://upcoming.images.rarity.tools/inversemutants_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/inversemutants_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/inversemutants_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/inversemutants_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/inversemutants_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/inversemutants_3?width=150&optimizer=image']",Inverse Mutants,,,6500,,,InverseMutants,https://inversemutants.com
31,ETH,cunningwolfsociety,True,"['https://upcoming.images.rarity.tools/cunningwolfsociety_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cunningwolfsociety_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cunningwolfsociety_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cunningwolfsociety_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cunningwolfsociety_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cunningwolfsociety_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cunningwolfsociety_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cunningwolfsociety_4?width=150&optimizer=image']",Cunning Wolf Society,2022-02-04 00:00:00,0.068,8008,2022-02-04 00:00:00,0.068,cunningWolfNFT,https://cunningwolfsociety.com/
32,ETH,freaksnguilds,False,"['https://upcoming.images.rarity.tools/freaksnguilds_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/freaksnguilds_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/freaksnguilds_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/freaksnguilds_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/freaksnguilds_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/freaksnguilds_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/freaksnguilds_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/freaksnguilds_4?width=150&optimizer=image']",Freaks N' Guilds Celestial Key,,,4444,,,freaksnguilds,https://freaksnguilds.com/
