,name,image_urls,quantity,currency,has_presale,presale_price,presale_date,starting_price,release_date,discord,twitter,website
20,Dippies,"['https://upcoming.images.rarity.tools/dippies_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/dippies_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/dippies_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/dippies_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/dippies_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/dippies_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/dippies_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/dippies_4?width=150&optimizer=image']",8888,ETH,False,,,,,dippies,dippiesnft,https://www.dippies.io/
21,ETHomes,"['https://upcoming.images.rarity.tools/ETHomes_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/ETHomes_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/ETHomes_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/ETHomes_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/ETHomes_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/ETHomes_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/ETHomes_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/ETHomes_4?width=150&optimizer=image']",8000,,False,,,,,6bB4q4Y3bA,ETHomesNFT,https://ethomesnft.com
22,Bored Alien Collection,"['https://upcoming.images.rarity.tools/boredaliencollections_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/boredaliencollections_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/boredaliencollections_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/boredaliencollections_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/boredaliencollections_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/boredaliencollections_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/boredaliencollections_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/boredaliencollections_4?width=150&optimizer=image']",3333,ETH,True,0.02,,0.02,,6JkXaye6yp,BoredAlienC,https://boredaliencollection.com/
23,Chihuahua Army,"['https://upcoming.images.rarity.tools/chihuahuaarmyy_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/chihuahuaarmyy_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/chihuahuaarmyy_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/chihuahuaarmyy_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/chihuahuaarmyy_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/chihuahuaarmyy_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/chihuahuaarmyy_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/chihuahuaarmyy_4?width=150&optimizer=image']",7777,ETH,False,,,,,MjhhqHazDM,NFT_Chihuahua,https://chihuahua.army
24,Galactic Snake Eggs,"['https://upcoming.images.rarity.tools/galacticsnakeeggs_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/galacticsnakeeggs_1?width=150&optimizer=image']",5000,SOL,False,,,,,galacticsnakesociety,galactic_snakes,https://galacticsnakesociety.com
25,Solanus - P2E Gameverse,"['https://upcoming.images.rarity.tools/solanus_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/solanus_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/solanus_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/solanus_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/solanus_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/solanus_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/solanus_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/solanus_4?width=150&optimizer=image']",2000,SOL,False,,,,,YNFGeedv6Q,solanusverse,https://www.solanus.io/
26,CYBER METAPE,"['https://upcoming.images.rarity.tools/cybermetapenft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cybermetapenft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cybermetapenft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cybermetapenft_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cybermetapenft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cybermetapenft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cybermetapenft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cybermetapenft_4?width=150&optimizer=image']",7777,ETH,True,0.035,2022-03-02 13:30:00,0.035,2022-03-02 13:30:00,skzjkn9gZF,cybermetape,https://cybermetape.com/
27,Cat People,"['https://upcoming.images.rarity.tools/catpeople_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/catpeople_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/catpeople_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/catpeople_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/catpeople_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/catpeople_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/catpeople_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/catpeople_4?width=150&optimizer=image']",9999,ETH,True,0.1,2022-03-02 17:00:00,0.1,2022-03-02 17:00:00,catpeople,catpeoplenft,https://Https://www.Catpeople.io
28,Graffiti Bear Collective,"['https://upcoming.images.rarity.tools/GraffitiBearCollectivenft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/GraffitiBearCollectivenft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/GraffitiBearCollectivenft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/GraffitiBearCollectivenft_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/GraffitiBearCollectivenft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/GraffitiBearCollectivenft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/GraffitiBearCollectivenft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/GraffitiBearCollectivenft_4?width=150&optimizer=image']",9999,ETH,True,0.08,2022-03-02 17:00:00,0.08,2022-03-02 17:00:00,vFv6Tt6zuS,graffitibears,https://graffitibears.com/
29,Sol.BLOKs,"['https://upcoming.images.rarity.tools/SolBLOKs_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/SolBLOKs_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/SolBLOKs_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/SolBLOKs_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/SolBLOKs_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/SolBLOKs_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/SolBLOKs_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/SolBLOKs_4?width=150&optimizer=image']",5000,SOL,True,0.45,2022-03-02 20:00:00,0.45,2022-03-02 20:00:00,7pQJVVNNXH,solbloks,https://solbloks.space/
