,followers,twitter
200,1910,dopeheadsnft
201,473,metamutantsclub
202,5180,bulbbers
203,6627,whales_nft
204,3982,soldiamondheads
205,2970,fortuna_dao
206,9984,founderbricks
207,-1,Project1776NFT
208,7162,fudaoverse
209,1108,ggiraffeclub
210,986,Hiros_io
211,1363,kangaroomobnft
212,2649,LepLegends
213,6331,meetbob_nft
214,9022,cryptoceanart
215,1762,MetaGestation
216,6269,Oxmose_NFT
217,33200,ShibaBeast_nft
218,2744,SpaceConvicts
