,name,image_urls,quantity,currency,has_presale,presale_price,presale_date,starting_price,release_date,discord,twitter,website
20,Sol.BLOKs,"['https://upcoming.images.rarity.tools/SolBLOKs_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/SolBLOKs_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/SolBLOKs_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/SolBLOKs_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/SolBLOKs_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/SolBLOKs_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/SolBLOKs_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/SolBLOKs_4?width=150&optimizer=image']",5000,SOL,True,0.45,,0.45,,7pQJVVNNXH,solbloks,https://solbloks.space/
21,Kaiju Kidz,"['https://upcoming.images.rarity.tools/kaijukidz_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/kaijukidz_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/kaijukidz_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/kaijukidz_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/kaijukidz_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/kaijukidz_3?width=150&optimizer=image']",5000,ETH,True,0.03,2022-03-04 00:00:00,0.03,2022-03-04 00:00:00,uTh7jxtxWJ,KaijuKidz,https://daycarekidz.com/
22,Rhinos Revenge,"['https://upcoming.images.rarity.tools/rhinosrevenge_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/rhinosrevenge_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/rhinosrevenge_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/rhinosrevenge_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/rhinosrevenge_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/rhinosrevenge_3?width=150&optimizer=image']",7500,ETH,False,,,,,t9uMdaxHFz,RhinosRNFT,https://rhinosrevengenft.com/
23,Angry Bully City,"['https://upcoming.images.rarity.tools/angrybullycity_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/angrybullycity_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/angrybullycity_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/angrybullycity_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/angrybullycity_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/angrybullycity_3?width=150&optimizer=image']",1111,EGLD,True,0.5,,0.5,,vP4HD6yaUt,angrybullycity,https://Angrybully.city
24,War Snails,"['https://upcoming.images.rarity.tools/warsnails_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/warsnails_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/warsnails_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/warsnails_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/warsnails_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/warsnails_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/warsnails_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/warsnails_4?width=150&optimizer=image']",8888,ETH,False,,,,,8sNX9Tuc2G,WarSnails,https://www.warsnails.com
25,Pesky Pandas,"['https://upcoming.images.rarity.tools/peskypandas_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/peskypandas_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/peskypandas_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/peskypandas_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/peskypandas_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/peskypandas_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/peskypandas_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/peskypandas_4?width=150&optimizer=image']",5555,ETH,True,,2022-03-05 15:00:00,,2022-03-05 15:00:00,peskypandas ,PeskyPandasNFT,http://PeskyPandas.net
26,Elite Ape Planet,"['https://upcoming.images.rarity.tools/eliteapeplanet_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/eliteapeplanet_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/eliteapeplanet_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/eliteapeplanet_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/eliteapeplanet_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/eliteapeplanet_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/eliteapeplanet_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/eliteapeplanet_4?width=150&optimizer=image']",1500,SOL,False,,,,,jepXHZSBuu,EliteApePlanet,https://t.co/QlIjoGeq5h
27,Envoverse,"['https://upcoming.images.rarity.tools/envoversenft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/envoversenft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/envoversenft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/envoversenft_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/envoversenft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/envoversenft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/envoversenft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/envoversenft_4?width=150&optimizer=image']",10000,,True,,2022-03-05 17:00:00,,2022-03-05 17:00:00,envoverse,envoverse,https://envoverse.com/
28,Goated Gamers,"['https://upcoming.images.rarity.tools/goatedgamers_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/goatedgamers_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/goatedgamers_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/goatedgamers_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/goatedgamers_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/goatedgamers_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/goatedgamers_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/goatedgamers_4?width=150&optimizer=image']",6969,ETH,True,0.06,2022-03-05 17:00:00,0.06,2022-03-05 17:00:00,tAsgEmS7a4,GoatedGamersNFT,https://goatedgamernft.com/
29,Bowling Heads,"['https://upcoming.images.rarity.tools/bowlingheads_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/bowlingheads_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/bowlingheads_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/bowlingheads_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/bowlingheads_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/bowlingheads_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/bowlingheads_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/bowlingheads_4?width=150&optimizer=image']",8888,ETH,False,,,,,BowlingHeads,BowlingHeads,https://bowlingheads.app/
