,discord,online_members,total_members
123,8ASzg4gN4m,25,250
124,NZRKJ9fh6u,15,249
125,cyberzillaz,696,2537
126,KS2jGN6drD,72,4506
127,KDxfnxMRt5,21,242
128,dJbcmeaHbT,120,4630
129,nftsumantria,5229,21059
130,originbeast,43,650
131,hfh,347,3904
132,V2XpPQEkFQ,35,1011
133,gpv4TZ2dJt,1119,12106
134,uhr2uU6GVf,13,176
135,xxX7MUTfhp,33,719
136,9z4NP3kQ,6306,35712
137,metasyndicate,631,9364
138,5gEYH8KyFz,270,889
139,BSKebxFkYm,38,529
140,96QBSE4j59,64,842
141,sHqaUNpvR6,4,11
142,KbSfMYuMZ2,398,2820
143,pixa,207,1089
144,reseau,6412,42039
145,EJy9NKh3gH,331,2173
146,7JzgwYDJht,471,3997
147,2z5PpXsS2K,76,16038
148,KV6qcHmahZ,1204,14195
149,xdrrbtnBAB,2616,11464
150,cheebs,489,4330
151,RMhMSUkEKs,175,867
152,CR3E3YEvUF,42,499
153,5QGBX95Evh,37,680
154,denizen,15,936
155,7PaBK6BbAj,23,251
156,VXdgAJkHDE,41,489
157,UKrhGketaN,15,81
158,VDdk4YdRgH,39,733
159,HrAeKG2YXM,49,747
160,glodyknights,309,1391
161,uNhw3DApYa,23,267
162,metasurvivors,1670,21998
163,zr9kceJmxZ,48,1370
164,ailoverse,5725,30176
165,FQgURVVw2t,480,27107
166,stubbornapesociety ,695,21557
167,HUAprVRQD2,49,352
168,chApf4xjGC,1693,16108
169,QMUXBdHCc4,25,161
170,wchCkbUBhT,2,36
171,mDNN9rfAmB,14,292
172,munchiemafia,68,3274
173,8pgVATSD9k,145,4715
174,gjjcBfbdjD,31,526
175,wr4gVc5h2u,2590,12592
176,Sg7Y6xu5bA,247,3321
177,dreamerz,142,1105
178,poc-nft,1679,4673
